id,first_name,last_name,gender,color,city,skills,user agent,street suffix,words
1,Kevin,Morales,Male,Indigo,Nueva Esperanza,Hedge Funds,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/534.30 (KHTML, like Gecko) Ubuntu/11.04 Chromium/12.0.742.112 Chrome/12.0.742.112 Safari/534.30",Park,tortor quis turpis sed ante vivamus tortor duis mattis egestas metus aenean
2,Jack,Crawford,Male,Khaki,Phoenix,AV,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/535.11 (KHTML, like Gecko) Ubuntu/11.10 Chromium/17.0.963.65 Chrome/17.0.963.65 Safari/535.11",Drive,vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus
3,Scott,Walker,Male,Goldenrod,Quintas,EBSCO,Mozilla/5.0 (X11; Ubuntu; Linux i686; rv:15.0) Gecko/20100101 Firefox/15.0.1,Plaza,nulla quisque arcu libero rutrum ac lobortis vel dapibus at diam nam tristique
4,Brandon,Jenkins,Male,Green,Podkamennaya Tunguska,WSH,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2227.0 Safari/537.36",Hill,nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum
5,Margaret,Gomez,Female,Indigo,Banes,Pyramix,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_4_11; de-de) AppleWebKit/533.16 (KHTML, like Gecko) Version/4.1 Safari/533.16",Junction,tellus in sagittis dui vel nisl duis ac nibh fusce lacus
6,Antonio,Price,Male,Aquamarine,Gareba,Customer Acquisition,"Mozilla/5.0 (Windows; U; Windows NT 6.0; en-US) AppleWebKit/534.20 (KHTML, like Gecko) Chrome/11.0.672.2 Safari/534.20",Junction,curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin
7,Michael,Ruiz,Male,Maroon,Yimamu,NDT,"Mozilla/5.0 (Windows; U; Windows NT 5.0; en-en) AppleWebKit/533.16 (KHTML, like Gecko) Version/4.1 Safari/533.16",Junction,curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar
8,Gary,George,Male,Khaki,Liuhao,Shopper Marketing,"Mozilla/5.0 (Windows NT 6.2) AppleWebKit/535.11 (KHTML, like Gecko) Chrome/17.0.963.66 Safari/535.11",Avenue,molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula
9,Albert,Grant,Male,Maroon,Wangping,SDLX,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/14.0.813.0 Safari/535.1",Terrace,leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique
10,Michelle,Andrews,Female,Turquoise,Memphis,RWD Info Pak,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/535.1 (KHTML, like Gecko) Ubuntu/11.04 Chromium/14.0.803.0 Chrome/14.0.803.0 Safari/535.1",Circle,sed vestibulum sit amet cursus id turpis integer aliquet massa id lobortis convallis tortor risus dapibus
11,Lawrence,Chapman,Male,Turquoise,Pudoc North,CSLA,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_2) AppleWebKit/535.11 (KHTML, like Gecko) Chrome/17.0.963.65 Safari/535.11",Point,dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh
12,Christina,Powell,Female,Mauv,Changmao,Sage ERP X3,"Mozilla/5.0 (Windows NT 6.0) AppleWebKit/534.30 (KHTML, like Gecko) Chrome/12.0.742.100 Safari/534.30",Circle,etiam faucibus cursus urna ut tellus nulla ut erat id mauris vulputate elementum nullam varius
13,Anthony,Morris,Male,Red,Sepolong Timur,Front-end,"Mozilla/5.0 (Windows NT 6.2) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.94 Safari/537.4",Avenue,id mauris vulputate elementum nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at
14,Ernest,Tucker,Male,Puce,Pirané,Taleo,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_4) AppleWebKit/534.30 (KHTML, like Gecko) Chrome/12.0.742.100 Safari/534.30",Parkway,nam nulla integer pede justo lacinia eget tincidunt eget tempus
15,Lois,Berry,Female,Crimson,Manggissari,Elder Care,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1623.0 Safari/537.36",Court,suscipit nulla elit ac nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus
16,Sharon,Daniels,Female,Teal,Chacarita,Food Preparation,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2224.3 Safari/537.36",Lane,phasellus in felis donec semper sapien a libero nam dui proin leo
17,Frank,James,Male,Goldenrod,San Sebastian,RCS,"Mozilla/5.0 (Windows NT 6.2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/28.0.1467.0 Safari/537.36",Hill,fusce lacus purus aliquet at feugiat non pretium quis lectus
18,Andrea,Patterson,Female,Aquamarine,Xinle,DNS Server,Mozilla/5.0 (Windows NT 6.2; Win64; x64;) Gecko/20100101 Firefox/20.0,Parkway,donec ut mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu
19,Steve,Hanson,Male,Indigo,Knoxville,FF&amp;E Specifications,Mozilla/5.0 (Windows NT 6.2; Win64; x64;) Gecko/20100101 Firefox/20.0,Road,vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu interdum
20,Paul,Burke,Male,Violet,Kebonsari Kidul,FX Spot,"Mozilla/5.0 (Windows; U; Windows NT 6.1; sv-SE) AppleWebKit/533.19.4 (KHTML, like Gecko) Version/5.0.3 Safari/533.19.4",Lane,porttitor id consequat in consequat ut nulla sed accumsan felis ut at dolor
21,Betty,Harvey,Female,Green,Oqtosh,xSeries,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/535.2 (KHTML, like Gecko) Chrome/15.0.860.0 Safari/535.2",Court,lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam
22,Kimberly,Frazier,Female,Red,Khirdalan,DHTMLX,"Mozilla/4.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/11.0.1245.0 Safari/537.36",Junction,vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat
